"carat","cut","color","clarity","depth","table","price","x","y","z","ptprice"
"pt99","Fair","I","SI2",68.1,56,2811,6.21,6.06,4.18,28.39
"pt99","Fair","J","SI1",55,61,2812,6.72,6.67,3.68,28.4
"pt99","Fair","J","SI1",58,67,2949,6.57,6.5,3.79,29.79
"pt99","Fair","I","SI1",60.7,66,3337,6.42,6.34,3.87,33.71
"pt99","Fair","H","VS2",71.6,57,3593,5.94,5.8,4.2,36.29
"pt99","Very Good","J","SI1",60.3,57,4002,6.44,6.49,3.9,40.42
"pt99","Good","F","SI2",63.3,54,4052,6.36,6.43,4.05,40.93
"pt99","Premium","F","SI2",60.6,61,4075,6.45,6.38,3.89,41.16
"pt99","Ideal","I","SI1",61.8,57,4763,6.4,6.42,3.96,48.11
"pt99","Very Good","E","SI2",61.8,59,4780,6.3,6.33,3.9,48.28
"pt99","Very Good","F","SI2",61.2,56,4852,6.4,6.45,3.93,49.01
"pt99","Very Good","G","SI1",62.8,56,4863,6.34,6.36,3.99,49.12
"pt99","Very Good","D","SI2",62.5,57,4993,6.3,6.34,3.95,50.43
"pt99","Very Good","F","SI1",62.5,58,5112,6.36,6.38,3.98,51.64
"pt99","Ideal","H","SI1",61.1,56,5287,6.44,6.47,3.94,53.4
"pt99","Very Good","D","SI1",62.6,57,5671,6.34,6.37,3.98,57.28
"pt99","Ideal","F","SI1",62.8,57,5728,6.3,6.38,3.98,57.86
"pt99","Premium","F","VS2",62.6,55,5893,6.5,6.35,4.02,59.53
"pt99","Ideal","F","VS1",61,55,5947,6.46,6.52,3.96,60.07
"pt99","Ideal","F","SI1",62.1,58,6038,6.33,6.4,3.95,60.99
"pt99","Very Good","F","VS2",61.8,57,6094,6.37,6.39,3.94,61.56
"pt99","Fair","J","I1",73.6,60,1789,6.01,5.8,4.35,18.07
"pt99","Fair","J","I1",62.9,58,1901,6.33,6.1,3.91,19.2
"pt100","Premium","F","VS2",60.5,59,6640,6.57,6.39,3.92,66.4
"pt100","Good","D","SI2",58.1,65,4427,6.54,6.48,3.78,44.27
"pt100","Premium","J","VS2",60.7,58,3877,6.49,6.52,3.95,38.77
"pt100","Good","F","SI1",63.6,58,4939,6.31,6.27,4,49.39
"pt100","Fair","E","SI1",65.8,59,4798,6.07,6.15,4.02,47.98
"pt100","Good","E","VS1",63.6,59,7392,6.35,6.32,4.03,73.92
"pt100","Good","D","SI1",64.9,53,5469,6.27,6.3,4.08,54.69
"pt100","Fair","F","SI1",66.4,57,4256,6.21,6.14,4.1,42.56
"pt100","Very Good","F","VS2",62.2,55,6340,6.39,6.44,3.99,63.4
"pt100","Premium","G","VS2",60,59,6451,6.54,6.46,3.9,64.51
"pt100","Premium","H","VS2",59.7,59,5139,6.57,6.52,3.91,51.39
"pt100","Good","J","VVS1",63.5,59,4633,6.29,6.34,4.01,46.33
"pt100","Premium","G","VS2",59.3,60,6048,6.55,6.51,3.87,60.48
"pt100","Premium","J","VS2",62,62,3685,6.42,6.35,3.96,36.85
"pt100","Very Good","F","SI2",61.9,59,3906,6.39,6.44,3.97,39.06
"pt100","Good","F","SI2",63.8,58,4081,6.28,6.33,4.02,40.81
"pt100","Very Good","H","SI1",63.4,56,4469,6.37,6.34,4.03,44.69
"pt100","Good","H","VS1",60.2,63,5668,6.43,6.47,3.88,56.68
"pt100","Premium","F","VS2",62.2,59,6328,6.37,6.29,3.94,63.28
"pt100","Ideal","F","VS2",61.7,58,6424,6.37,6.43,3.95,64.24
"pt100","Ideal","G","VVS1",61.9,57,8366,6.43,6.39,3.97,83.66
"pt100","Premium","F","VS1",59.2,60,7056,6.53,6.48,3.85,70.56
"pt100","Premium","G","SI2",59,62,3998,6.52,6.47,3.83,39.98
"pt100","Premium","G","SI1",60,62,4189,6.48,6.45,3.88,41.89
"pt100","Very Good","G","SI1",62.6,57,4413,6.31,6.37,3.97,44.13
"pt100","Very Good","D","VS2",59.6,60,6745,6.52,6.57,3.9,67.45
"pt100","Very Good","D","VS2",61.2,61,6190,6.35,6.39,3.9,61.9
"pt100","Fair","G","VVS2",65.5,54,4928,6.3,6.22,4.1,49.28
"pt100","Very Good","G","SI1",63.1,56,4295,6.41,6.31,4.01,42.95
"pt100","Premium","F","SI1",61.8,58,5151,6.44,6.37,3.96,51.51
